,CountryName,Date,total_cases,QGDP,StringencyIndex
136,New Zealand,20210218,2348,202879,39.35
137,Finland,20210218,52209,248818,52.31
138,Slovenia,20210218,182484,74785,61.11
139,Estonia,20210218,55295,45030,41.67
140,United Kingdom,20210218,4087258,2809416,87.96
141,Turkey,20210218,2616600,2505389,72.22
142,Ireland,20210218,212647,436766,87.96
143,Switzerland,20210218,546754,584009,60.19
144,Hungary,20210218,394023,302917,72.22
145,Australia,20210218,28918,1226775,53.24
146,Israel,20210218,741934,354874,62.96
147,Germany,20210218,2372209,4058158,83.33
148,Sweden,20210218,627022,524578,69.44
149,Belgium,20210218,746302,538147,62.96
150,United States,20210218,28032479,19648120,68.06
151,Spain,20210218,3121687,1647074,71.3
152,Denmark,20210218,206065,307650,66.67
153,Japan,20210218,421986,5207916,49.54
154,Greece,20210218,176059,279043,78.7
155,Austria,20210218,439841,437851,75.93
156,Iceland,20210218,6044,18644,40.74
157,Slovenia,20210520,250811,75929,52.78
158,Chile,20210520,1308311,444215,80.09
159,United Kingdom,20210520,4459280,2771207,62.5
160,Norway,20210520,120797,330822,62.04
161,Switzerland,20210520,686152,583187,50.93
162,Turkey,20210520,5160423,2566230,76.85
163,Poland,20210520,2861351,1216694,62.04
164,Canada,20210520,1356616,1715842,75.46
165,Austria,20210520,639616,436296,68.52
166,Sweden,20210520,1055173,530963,65.74
167,Portugal,20210520,843729,311806,62.04
168,Spain,20210520,3631661,1636664,63.43
169,Belgium,20210520,1041706,544842,50.93
170,Australia,20210520,29999,1249109,36.57
171,France,20210520,5610476,2791880,54.63
172,Mexico,20210520,2390140,2284790,44.44
173,Iceland,20210520,6555,18053,37.96
174,Italy,20210520,4178261,2185937,69.44
175,Denmark,20210520,270557,306422,59.26
176,Japan,20210520,704939,5170259,49.07
177,Israel,20210520,839263,352918,52.78
178,Costa Rica,20210520,296632,96001,56.48
179,Latvia,20210520,129794,54893,56.48
180,Ireland,20210520,257446,480566,55.56
181,Estonia,20210520,128084,46570,41.67
182,Lithuania,20210520,268684,100618,41.67
183,United States,20210520,33135436,19949500,52.31
184,Luxembourg,20210520,69465,71947,45.37
185,New Zealand,20210520,2662,205585,22.22
186,Netherlands,20210520,1617846,904587,67.59
187,Germany,20210520,3638504,3982322,75
188,Greece,20210520,385444,290758,56.48
189,Colombia,20210520,3177212,692095,62.96
190,Finland,20210520,90946,249184,52.31
191,Hungary,20210520,800368,307483,49.07
192,France,20210830,6794200,2827243,66.67
193,Germany,20210830,3947035,4062824,60.19
194,Denmark,20210830,344850,313168,38.89
195,Israel,20210830,1061488,364454,56.48
196,United Kingdom,20210830,6768136,2923988,43.98
197,Sweden,20210830,1123413,536057,37.04
198,Austria,20210830,687076,454535,58.8
199,Turkey,20210830,6366408,2604761,32.41
200,Finland,20210830,126565,254723,38.43
201,Switzerland,20210830,776962,593632,40.74
202,Iceland,20210830,10705,18805,32.41
203,Greece,20210830,583658,296729,80.09
204,Estonia,20210830,141599,47641,28.7
205,Hungary,20210830,812227,313492,25
206,Australia,20210830,53868,1257894,71.76
207,Ireland,20210830,351065,505777,44.44
208,New Zealand,20210830,3519,211010,96.3
209,United States,20210830,39182598,20276821,57.87
210,Italy,20210830,4534499,2244311,56.94
211,Poland,20210830,2888385,1238589,38.89
212,Canada,20210830,1504157,1702134,69.91
213,Mexico,20210830,3341264,2311090,67.13
214,Spain,20210830,4847298,1653970,47.69
215,Lithuania,20210830,298165,102649,25
216,Portugal,20210830,1036019,325509,52.78
217,Norway,20210830,158389,333966,38.89
218,Netherlands,20210830,1942422,938575,41.67
219,Luxembourg,20210830,75672,71976,37.96
220,Colombia,20210830,4907264,675072,46.3
221,Costa Rica,20210830,461145,97637,54.63
222,Slovenia,20210830,266657,77460,35.19
223,Chile,20210830,1638330,451371,63.43
224,Belgium,20210830,1182810,554258,47.22
225,Japan,20210830,1476653,5195564,52.31
226,Latvia,20210830,142400,56264,41.67
227,United Kingdom,20211218,11301095,2960667,48.61
228,Chile,20211218,1790524,473361,41.2
229,Finland,20211218,213318,256807,34.72
230,France,20211218,8622194,2912376,72.22
231,Netherlands,20211218,2971428,956871,56.48
232,Lithuania,20211218,500986,102621,46.3
233,Colombia,20211218,5105285,713612,51.85
234,Iceland,20211218,20232,18374,37.96
235,Switzerland,20211218,1175721,603544,46.3
236,Portugal,20211218,1220836,334896,43.52
237,Latvia,20211218,266716,56614,40.74
238,Ireland,20211218,651476,510560,50
239,Slovenia,20211218,447794,78485,58.33
240,Denmark,20211218,609062,315839,38.89
241,Belgium,20211218,1999764,565553,48.15
242,Luxembourg,20211218,96108,72630,46.3
243,Spain,20211218,5455527,1687252,43.98
